400	1000	1.03421	234.082	483.462	234.082	483.462	0.935	0.0139315	1481311605
500	491.532	1.23008e-06	12.9906	104.026	12.9906	104.026	0.95	0.00861678	1481311605
600	491.089	9.08491e-06	12.9999	0.0151481	12.9897	0.0302645	1	0	1481311605
700	491.085	0	13	0.010367	12.9931	0.0184521	1	0	1481311605
800	491.085	0	13	0.00691178	12.9948	0.0130163	0.92	0.020192	1481311605
900	-nan	-nan	10.2954	-nan	-nan	-nan	0.51	0.220622	1481311605
1000	-nan	-nan	9.36801	-nan	-nan	-nan	0.52	0.218787	1481311605
1100	-nan	-nan	8.87117	-nan	-nan	-nan	0.39	0.22394	1481311605
1200	-nan	-nan	8.77566	-nan	-nan	-nan	0.37	0.221089	1481311605
1300	-nan	-nan	8.75426	-nan	-nan	-nan	0.34	0.214986	1481311605
1400	-nan	-nan	8.74936	-nan	-nan	-nan	0.27	0.192299	1481311605
1500	-nan	-nan	8.74928	-nan	-nan	-nan	0.27	0.192299	1481311605
1600	-nan	-nan	8.74921	-nan	-nan	-nan	0.26	0.188104	1481311605
1700	-nan	-nan	8.74915	-nan	-nan	-nan	0.28	0.196257	1481311605
1800	-nan	-nan	8.74911	-nan	-nan	-nan	0.26	0.188104	1481311605
1900	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2000	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2100	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2200	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2300	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2400	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2500	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
2600	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
2700	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2800	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
2900	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
3000	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
3100	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
3200	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
3300	-nan	-nan	8.7491	-nan	-nan	-nan	0.23	0.17411	1481311605
3400	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
3500	-nan	-nan	8.7491	-nan	-nan	-nan	0.19	0.152204	1481311605
3600	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
3700	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
3800	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
3900	-nan	-nan	8.7491	-nan	-nan	-nan	0.19	0.152204	1481311605
4000	-nan	-nan	8.7491	-nan	-nan	-nan	0.24	0.179008	1481311605
4100	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
4200	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
4300	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
4400	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
4500	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
4600	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
4700	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
4800	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
4900	-nan	-nan	8.7491	-nan	-nan	-nan	0.21	0.163617	1481311605
5000	-nan	-nan	8.7491	-nan	-nan	-nan	0.22	0.168979	1481311605
5100	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
5200	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
5300	-nan	-nan	8.7491	-nan	-nan	-nan	0.28	0.196257	1481311605
5400	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
5500	-nan	-nan	8.7491	-nan	-nan	-nan	0.26	0.188104	1481311605
5600	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
5700	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
5800	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
5900	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
6000	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
6100	-nan	-nan	8.7491	-nan	-nan	-nan	0.21	0.163617	1481311605
6200	-nan	-nan	8.7491	-nan	-nan	-nan	0.2	0.158025	1481311605
6300	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
6400	-nan	-nan	8.7491	-nan	-nan	-nan	0.24	0.179008	1481311605
6500	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
6600	-nan	-nan	8.7491	-nan	-nan	-nan	0.29	0.199978	1481311605
6700	-nan	-nan	8.7491	-nan	-nan	-nan	0.31	0.206703	1481311605
6800	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
6900	-nan	-nan	8.7491	-nan	-nan	-nan	0.34	0.214986	1481311605
7000	-nan	-nan	8.7491	-nan	-nan	-nan	0.4	0.225	1481311605
7100	-nan	-nan	8.7491	-nan	-nan	-nan	0.32	0.209705	1481311605
7200	-nan	-nan	8.7491	-nan	-nan	-nan	0.38	0.222637	1481311605
7300	-nan	-nan	8.7491	-nan	-nan	-nan	0.38	0.222637	1481311605
7400	-nan	-nan	8.7491	-nan	-nan	-nan	0.46	0.226237	1481311605
7500	-nan	-nan	8.7491	-nan	-nan	-nan	0.33	0.212467	1481311605
7600	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
7700	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
7800	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
7900	-nan	-nan	8.7491	-nan	-nan	-nan	0.25	0.183673	1481311605
8000	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
8100	-nan	-nan	8.7491	-nan	-nan	-nan	0.4	0.225	1481311605
8200	-nan	-nan	8.7491	-nan	-nan	-nan	0.4	0.225	1481311605
8300	-nan	-nan	8.7491	-nan	-nan	-nan	0.44	0.226798	1481311605
8400	-nan	-nan	8.7491	-nan	-nan	-nan	0.41	0.225815	1481311605
8500	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
8600	-nan	-nan	8.7491	-nan	-nan	-nan	0.61	0.192083	1481311605
8700	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
8800	-nan	-nan	8.7491	-nan	-nan	-nan	0.69	0.154557	1481311605
8900	-nan	-nan	8.7491	-nan	-nan	-nan	0.55	0.211891	1481311605
9000	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
9100	-nan	-nan	8.7491	-nan	-nan	-nan	0.56	0.209136	1481311605
9200	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
9300	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
9400	-nan	-nan	8.7491	-nan	-nan	-nan	0.48	0.224709	1481311605
9500	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
